빌드_날짜,총_검색결과,검색_시작,출력_개수,뉴스_제목,원본_URL,네이버_URL,뉴스_요약,게시_날짜
"Mon, 17 Mar 2025 16:23:02 +0900",25413726,1,10,"홈플러스 노조 &quot;MBK 김병주 사재출연, <b>사회</b>적 압박에 따른 임시방편 불...",https://www.newsis.com/view/NISX20250317_0003101328,https://n.news.naver.com/mnews/article/003/0013123416?sid=101,"노조는 17일 오전 국회 소통관에서 기자회견을 열고 &quot;김병주 회장은 홈플러스 사태가 심각해지고 국회의 출석 요구, 국세청 세무조사, 노동조합의 반발 등 <b>사회</b>적 압박이 거세지자 마지못해 사재 출연이라는 조치를... ","Mon, 17 Mar 2025 11:48:00 +0900"
"Mon, 17 Mar 2025 16:23:03 +0900",25413726,11,10,"故휘성 유족, 조의금 전액 기부 &quot;<b>사회</b>에 좋은 영향&quot;",https://www.newsis.com/view/NISX20250317_0003100670,https://m.entertain.naver.com/article/003/0013123323,유족은 조의금을 휘성의 이름으로 <b>사회</b>에 좋은 영향을 줄 수 있는 곳에 사용하기로 했다. 최 씨는 이와 관련 해당 분야의 전문가분들과의 협의를 통해 지속가능한 최선의 방법을 찾아보도록 하겠다고 전했다. 휘성의... ,"Mon, 17 Mar 2025 11:21:00 +0900"
"Mon, 17 Mar 2025 16:23:04 +0900",25413726,21,10,김기문 &quot;中企가 존중받는 <b>사회</b>&quot;...'명예의 전당' 디지털로 탈바꿈,http://news.mt.co.kr/mtview.php?no=2025031711060575371,https://n.news.naver.com/mnews/article/008/0005166595?sid=101,특히 중소기업인이 존경 받는 <b>사회</b>를 만들기 위해 2007년부터 '중소기업을 빛낸 얼굴들'이라는 이름으로 모범 중소기업인의 흉상 동판을 전시해 오던 것을 AI시대에 맞게 디지털 전환을 통해 새롭게 개관한 것이다. 김... ,"Mon, 17 Mar 2025 11:11:00 +0900"
"Mon, 17 Mar 2025 16:23:06 +0900",25413726,31,10,"한국지역난방공사, 성남·수원 이어 세종시에 제3호 ‘한난존’ <b>사회</b>공...",https://www.kyeongin.com/article/1732680,https://www.kyeongin.com/article/1732680,"연계한 <b>사회</b>공헌 사업 ‘한난존(zone)’을 세종특별자치시까지 확대한다”고 밝혔다. 이와 관련, 한난 정용기... 대표적 <b>사회</b>공헌 사업이다. 여기에는 “<b>사회</b>공헌은 공사의 업(業)과 연계시키면서도 시민이 원하고 직접... ","Mon, 17 Mar 2025 15:00:00 +0900"
"Mon, 17 Mar 2025 16:23:07 +0900",25413726,41,10,"‘<b>사회</b>복무 대상’ 연예인 5명중 1명, ‘정신질환’으로 면제",https://www.mk.co.kr/article/11264806,https://n.news.naver.com/mnews/article/009/0005459357?sid=100,<b>사회</b>복무요원 소집 대상자이지만 정신질환을 이유로 3년 이상 대기하다 병역이 면제된 연예인이 5년간... 지난해 <b>사회</b>복무요원 소집대상 연예인 272명 중 50명(18.38%)이 정신질환을 사유로 장기대기 후 면제됐다.... ,"Sun, 16 Mar 2025 11:41:00 +0900"
"Mon, 17 Mar 2025 16:23:08 +0900",25413726,51,10,안랩 “1조 기업 도약”…안철수 “<b>사회</b>기여 초일류기업 돼달라”,https://biz.heraldcorp.com/article/10443141?ref=naver,https://n.news.naver.com/mnews/article/016/0002443197?sid=105,"이<b>사회</b>의장, 안철수 창업자, 강석균 대표(CEO), 이구범 사외이사가 기념 사진을 찍고 있다. [안랩 제공] #. 국내... 안철수 창업자는 “다시 시작이라는 마음으로 ‘함께 사는 <b>사회</b>에 기여하는 초일류 기업’이 돼달라”고... ","Mon, 17 Mar 2025 11:27:00 +0900"
"Mon, 17 Mar 2025 16:23:09 +0900",25413726,61,10,"기아, 다문화 청소년 <b>사회</b> 진출 지원",https://www.newsclaim.co.kr/news/articleView.html?idxno=3041818,https://www.newsclaim.co.kr/news/articleView.html?idxno=3041818,"<b>사회</b> 진출을 돕기 위한 '하모니움 교육 프로그램' 참여자를 모집한다고 17일 밝혔습니다. '하모니움'은 조화를 의미하는 '하모니'(Harmony)와 새싹이 돋다를 의미하는 '움트다'의 합성어로, 국내 다문화 청소년의 <b>사회</b>... ","Mon, 17 Mar 2025 09:42:00 +0900"
"Mon, 17 Mar 2025 16:23:10 +0900",25413726,71,10,계룡시립예술단 창단… 예술을 통한 지역<b>사회</b> 화합 기대,https://www.daejonilbo.com/news/articleView.html?idxno=2189958,https://n.news.naver.com/mnews/article/656/0000124961?sid=102,이응우 시장은 &quot;계룡시립예술단 창단은 문화예술을 통해 지역 <b>사회</b>의 화합을 유도하는 중요한 계기가 될 것&quot;이라며 &quot;다양한 세대와 문화가 어우러진 시립예술단 창단으로 지역의 전통예술에 담긴 의미를 되새김은 물론... ,"Mon, 17 Mar 2025 14:25:00 +0900"
"Mon, 17 Mar 2025 16:23:11 +0900",25413726,81,10,전북 <b>사회</b>적 경제 기업 저금리 융자 지원,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8201860&ref=A,https://n.news.naver.com/mnews/article/056/0011912162?sid=101,<b>사회</b>적 경제 기업의 경영 부담을 낮추기 위해 연이율 최대 2.8퍼센트의 저금리 융자가 지원됩니다. 경영... 대출이 있는 기업은 대환도 가능합니다. 신청은 전북<b>사회</b>적경제연대회의에서 다음 달 4일까지 받습니다.,"Mon, 17 Mar 2025 07:45:00 +0900"
"Mon, 17 Mar 2025 16:23:12 +0900",25413726,91,10,"광주시, 장애여성 취업 지원…&quot;경제적 자립·<b>사회</b> 참여 확대&quot;",https://www.news1.kr/local/gwangju-jeonnam/5720297,https://n.news.naver.com/mnews/article/421/0008131835?sid=102,광주시는 지역 장애 여성의 경제적 자립과 <b>사회</b> 참여 확대를 위해 '장애 여성 취업 지원 사업'을 추진한다.... 센터는 장애 여성을 위한 △<b>사회</b>관계망서비스(SNS) 홍보 마케팅 △컴퓨터 기초과정 등 취업직무교육 △직장... ,"Sun, 16 Mar 2025 07:00:00 +0900"
