시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,휴무일,운영시간,주차 가능여부,입장(이용료)가격 정보,반려동물 동반 가능정보,반려동물 전용 정보,입장 가능 동물 크기,반려동물 제한사항,장소(실내) 여부,장소(실외)여부,기본 정보_장소설명,애견 동반 추가 요금,최종작성일
369펜션,반려동물업,반려동반여행,펜션,제주특별자치도,제주시,조천읍,와흘리,243 번지,와흘로,369 번,33.47371025,126.645997,63344.0,제주특별자치도 제주시 조천읍 와흘로 369,제주특별자치도 제주시 조천읍 와흘리 243,064-726-8266,http://jeju369.com/,연중무휴,매일 16:00~11:00,Y,변동,Y,해당없음,10kg 미만,애견용품 개별준비,Y,Y,애견 동반 펜션,"20,000원",2022-11-30
518기념공원,반려동물업,반려동반여행,여행지,광주광역시,서구,쌍촌동,,1268 번지,상무민주로,61 번,35.15574851,126.858584,61965.0,광주광역시 서구 상무민주로 61,광주광역시 서구 쌍촌동 1268,062-376-5197,https://www.seogu.gwangju.kr/menu.es?mid=a70901070000,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
가경공원,반려동물업,반려동반여행,여행지,충청북도,청주시 흥덕구,가경동,,84-1 번지,서부로,1241-31 번,36.61266041,127.437237,28382.0,충청북도 청주시 흥덕구 서부로 1241-31,충청북도 청주시 흥덕구 가경동 산 84-1,043-201-4435,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
가든블루,반려동물업,반려동반여행,펜션,경기도,포천시,이동면,장암리,636-12 번지,화동로,2236-33 번,38.04364239,127.374561,11111.0,경기도 포천시 이동면 화동로 2236-33,경기도 포천시 이동면 장암리 636-12,0507-1309-3493,http://gardenblue.co.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,10kg 이하,제한사항 없음,Y,Y,"애견 동반 펜션, 사전문의 필수","20,000원",2022-11-30
가락바위소류지,반려동물업,반려동반여행,여행지,충청남도,아산시,탕정면,명암리,588 번지,,,36.80759774,127.059415,31452.0,,충청남도 아산시 탕정면 명암리 588,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
가마미해수욕장,반려동물업,반려동반여행,여행지,전라남도,영광군,홍농읍,계마리,802-1 번지,가마미로,341-6 번,35.39762675,126.408005,57000.0,전라남도 영광군 홍농읍 가마미로 341-6,전라남도 영광군 홍농읍 계마리 802-1,061-356-1020,https://www.yeonggwang.go.kr/subpage/?site=tour_2019&mn=7387,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
가수원근린공원,반려동물업,반려동반여행,여행지,대전광역시,서구,가수원동,,802-1 번지,가수원중로65번길,22 번,36.29819101,127.352494,35390.0,대전광역시 서구 가수원중로65번길 22,대전광역시 서구 가수원동 802-1,,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,목줄,N,Y,공원,없음,2022-11-30
가우도,반려동물업,반려동반여행,여행지,전라남도,강진군,,신기리,,,,34.52719533,126.764915,59251.0,,전라남도 강진군 도암면 신기리,061-432-2254,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
가원별장 펜션,반려동물업,반려동반여행,펜션,경기도,양평군,단월면,명성리,613-3 번지,명성길,176-1 번,37.62218608,127.631772,12526.0,경기도 양평군 단월면 명성길 176-1,경기도 양평군 단월면 명성리 613-3,0507-1317-2027,http://gawonps.co.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,7kg 이하,제한사항 없음,Y,Y,"애견 동반 펜션, 사전문의 필수","20,000원",2022-11-30
가자펜션,반려동물업,반려동반여행,펜션,경상남도,거제시,남부면,다포리,38-15 번지,거제남서로,324-4 번,34.71600425,128.626327,53334.0,경상남도 거제시 남부면 거제남서로 324-4,경상남도 거제시 남부면 다포리 38-15,,https://gajaps.modoo.at/,연중무휴,매일 15:00~11:00,Y,변동,N,해당없음,해당없음,해당없음,Y,Y,펜션,없음,2022-11-30
