빌드_날짜,총_검색결과,검색_시작,출력_개수,뉴스_제목,원본_URL,네이버_URL,뉴스_요약,게시_날짜
"Wed, 19 Mar 2025 20:59:20 +0900",1303012,1,10,"SK하이닉스, 엔비디아 GTC 2025 참가…&quot;<b>AI</b> 메모리 전시&quot;",https://www.newsis.com/view/NISX20250318_0003103555,https://n.news.naver.com/mnews/article/003/0013127381?sid=101,"행사에는 곽노정 대표이사 사장(CEO), 김주선 AI 인프라 사장(CMO), 이상락 부사장(Global S&amp;M 담당) 등 회사 주요 경영진이 참석해 글로벌 <b>AI 산업</b> 리더들과의 협력을 공고히 할 예정이다．","Wed, 19 Mar 2025 05:00:00 +0900"
"Wed, 19 Mar 2025 20:59:20 +0900",1303012,1,10,&quot;메모리가 불러올 <b>AI</b>의 내일&quot;…SK하이닉스 기술력 한눈에,https://www.hankyung.com/article/202503182618g,https://n.news.naver.com/mnews/article/015/0005107713?sid=101,"SK하이닉스 곽노정 대표이사 사장(CEO)과 김주선 AI 인프라 사장(CMO), 이상락 부사장(글로벌 S&amp;M 담당) 등 주요 경영진도 참석해 <b>AI 산업</b> 리더들과 협력을 공고히 할 예정이다. SK하이닉스는 세계 최초로 5세대... ","Wed, 19 Mar 2025 05:01:00 +0900"
"Wed, 19 Mar 2025 20:59:20 +0900",1303012,1,10,"엔비디아, 블랙웰·루빈·파인먼 로드맵 공개…<b>AI</b> 칩 수요 계속될까",https://www.khan.co.kr/article/202503190733001,https://n.news.naver.com/mnews/article/032/0003357529?sid=101,"엔비디아는 데이터센터를 넘어 <b>AI 산업</b> 전반으로 지배력을 확대하려는 계획도 밝혔다. 새로운 휴머노이드 로봇 개발 플랫폼 ‘아이작 그루트 N1’을 공개했으며, 제너럴모터스(GM)와 협력해 차세대 자동차, 공장... ","Wed, 19 Mar 2025 07:34:00 +0900"
"Wed, 19 Mar 2025 20:59:20 +0900",1303012,1,10,[단독] 美 메타의 퓨리오사<b>AI</b> '1조 딜'…韓정부 '국가전략기술' 심사 돌...,https://www.sedaily.com/NewsView/2GQB1YU7TX,https://n.news.naver.com/mnews/article/011/0004463216?sid=101,<b>산업</b>부는 퓨리오사<b>AI</b> 보유 기술의 국가핵심기술 해당 여부를 들여다보고 있는 것으로 알려졌다. 국가핵심기술은 현재 △반도체 11개 △자동차·철도 10개 △철강 9개 △조선 8개 △기계 8개 △정보통신 7개 등 13개... ,"Wed, 19 Mar 2025 17:18:00 +0900"
"Wed, 19 Mar 2025 20:59:20 +0900",1303012,1,10,"SK하이닉스, 엔비디아 안방서 'HBM4' 첫 공개…<b>AI</b> 리더십 확고(종합)",https://www.yna.co.kr/view/AKR20250318162751003?input=1195m,https://n.news.naver.com/mnews/article/001/0015275021?sid=105,"곽노정 사장과 김주선 AI 인프라 사장, 이상락 글로벌 S&amp;M(세일즈&amp;마케팅) 담당 부사장 등 회사 주요 경영진이 총출동해 글로벌 <b>AI 산업</b> 리더들과 협력 관계를 다질 것으로 보인다. 한편 삼성전자, 미국... ","Wed, 19 Mar 2025 16:05:00 +0900"
"Wed, 19 Mar 2025 20:59:20 +0900",1303012,1,10,"테라다인로보틱스, GRC 2025서 <b>AI</b> 협동로봇 선봬",https://zdnet.co.kr/view/?no=20250319204343,https://n.news.naver.com/mnews/article/092/0002367332?sid=105,UR <b>AI</b> 액셀러레이터는 모바일 <b>산업</b>용 로봇 미르에서도 구현 가능하다. MiR1200 팔레트 잭은 팔레트 감지를 위해 3D 비전과 엔비디아 젯슨 AGX 오린 모듈을 사용해 복잡한 환경에서도 팔레트를 정확하게 식별할 수 있다.... ,"Wed, 19 Mar 2025 20:44:00 +0900"
"Wed, 19 Mar 2025 20:59:20 +0900",1303012,1,10,삼성전기 “신사업 연내 2조 매출”…<b>AI</b>·로봇 <b>산업</b> 전방위 공략,https://www.mk.co.kr/article/11267711,https://n.news.naver.com/mnews/article/009/0005461291?sid=105,미래 프로젝트 본격화…차세대 배터리 개발 속도 “ADAS·<b>AI</b> 투자 폭증”…반도체 부품 공급 확대 세종... 삼성전기는 현재 전장·로봇·인공지능(<b>AI</b>)·서버·에너지 분야를 겨냥한 차세대 배터리와 부품을 개발하고... ,"Wed, 19 Mar 2025 13:45:00 +0900"
"Wed, 19 Mar 2025 20:59:20 +0900",1303012,1,10,"마인즈앤컴퍼니, 롯데손해보험 생성형 <b>AI</b> 프로젝트 진행",http://www.edaily.co.kr/news/newspath.asp?newsid=03568646642104960,https://n.news.naver.com/mnews/article/018/0005966088?sid=105,"<b>AI</b>를 도구적으로 활용할 수 있는 환경을 확대해 나가겠다”고 말했다. 마인즈앤컴퍼니는 롯데손해보험을 비롯해 우리은행, 미래에셋증권, 한국중부발전 등 다양한 <b>산업</b>에서 생성형 <b>AI</b> 도입 상용화 사례를 확대하고 있다.","Wed, 19 Mar 2025 15:55:00 +0900"
"Wed, 19 Mar 2025 20:59:20 +0900",1303012,1,10,"&quot;<b>AI</b> 맞춤형 헬스케어, 일상이 되다&quot;…20~23일 메디컬코리아",https://www.news1.kr/bio/welfare-medical/5723328,https://n.news.naver.com/mnews/article/421/0008138602?sid=105,박민수 복지부 제2차관은 &quot;헬스케어 <b>산업</b>이 인공지능(<b>AI</b>) 기반을 통해 한 단계 더 도약할 수 있도록 역량을 집중해 나가겠다&quot;고 말했다. 박 차관은 &quot;외국인 환자에 대한 의료서비스 질과 안전성을 제고하고 의료기관의... ,"Wed, 19 Mar 2025 12:00:00 +0900"
"Wed, 19 Mar 2025 20:59:20 +0900",1303012,1,10,"젠슨 황, 성능 900배 <b>AI</b>칩 공개…시장은 &quot;특별함 결여&quot;",https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202503190354&t=NNv,https://n.news.naver.com/mnews/article/215/0001202452?sid=101,"&lt;기자&gt; 시장에서 <b>AI 산업</b>을 바라보는 시각이 보수적으로 바뀌었기 때문입니다. 지난 밤 엔비디아 주가는 3.43% 하락 마감했습니다. 올해 1월 열렸던 CES2025에서는 젠슨 황이 7년만에 기조연설을 했는데도, 엔비디아... ","Wed, 19 Mar 2025 14:27:00 +0900"
