빌드_날짜,총_검색결과,검색_시작,출력_개수,뉴스_제목,원본_URL,네이버_URL,뉴스_요약,게시_날짜
"Wed, 19 Mar 2025 20:57:31 +0900",3997414,1,10,[단독] '오픈<b>AI</b> 대항마' 앤트로픽 &quot;韓 지사 설립 추진…日·싱가포르도 ...,https://zdnet.co.kr/view/?no=20250319181247,https://n.news.naver.com/mnews/article/092/0002367321?sid=105,인공지능(<b>AI</b>) 안전성과 정렬(alignment)에 초점을 맞춘 전략을 강화하며 국내 기업간거래(B2B) 시장에서의 협업... (사진=조이환 기자) 앤트로픽의 한국 진출은 <b>AI</b> 기업들의 글로벌 확장 전략과 차별화되는 행보다. 경쟁사인... ,"Wed, 19 Mar 2025 18:22:00 +0900"
"Wed, 19 Mar 2025 20:57:31 +0900",3997414,1,10,<b>AI</b> 디지털교과서 채택률 초&gt;중&gt;고 순,http://www.segye.com/newsView/20250319516077?OutUrl=naver,https://n.news.naver.com/mnews/article/022/0004020409?sid=102,인공지능(<b>AI</b>)디지털교과서 채택률이 중·고교보다 초등학교에서 상대적으로 높게 나타났다. 2024년 12월 13일 경기 고양시 킨텍스에서 열린 '2024 대한민국 교육혁신 박람회'에 소개된 <b>AI</b>디지털교과서. 연합뉴스 19일... ,"Wed, 19 Mar 2025 19:30:00 +0900"
"Wed, 19 Mar 2025 20:57:31 +0900",3997414,1,10,"美 엔비디아, 울트라·루빈·파인먼…<b>AI</b> 칩 출시 로드맵 발표",https://www.yna.co.kr/view/AKR20250319013700091?input=1195m,https://n.news.naver.com/mnews/article/001/0015273161?sid=104,올해 하반기부터 2028년까지…휴머노이드 로봇 개발 플랫폼 공개 GM과 자동차 <b>AI</b> 적용 협력…컴퓨터간 광자로 통신 네트워킹 칩도 김태종 특파원 = 인공지능(<b>AI</b>) 칩 선두 주자 엔비디아가 18일(현지시간) 향후... ,"Wed, 19 Mar 2025 06:58:00 +0900"
"Wed, 19 Mar 2025 20:57:31 +0900",3997414,1,10,"<b>AI</b> 교과서 선정률, 내신 부담 적은 초등학교서 높아",https://www.newsis.com/view/NISX20250319_0003104501,https://n.news.naver.com/mnews/article/003/0013128326?sid=102,"중·고등학교보다는 초등학교에서 인공지능(<b>AI</b>) 디지털교과서를 채택하는 비율이 상대적으로 높은... 3학년에서 <b>AI</b>교과서를 채택한 학교 비율은 수학 28.6%(1813곳), 영어 29.1%(843곳)이다. 초등학교 4학년의... ","Wed, 19 Mar 2025 11:30:00 +0900"
"Wed, 19 Mar 2025 20:57:31 +0900",3997414,1,10,"젠슨 황의 새 법칙 …&quot;로봇·PC로 <b>AI</b> 확장, GPU 100배 더 필요&quot;",https://www.mk.co.kr/article/11268134,https://n.news.naver.com/mnews/article/009/0005461607?sid=105,&quot;수요 정체는 없다&quot;… 엔비디아 <b>AI</b> 칩 로드맵 공개 내년 '루빈'에 HBM4 탑재 2027년 '울트라'엔 HBM4E 속도 14배... 인공지능(<b>AI</b>) 등장으로 <b>AI</b>에 필요한 연산량이 100배 더 늘어났다&quot;며 그래픽처리장치(GPU) 수요가 폭발적으로... ,"Wed, 19 Mar 2025 17:49:00 +0900"
"Wed, 19 Mar 2025 20:57:31 +0900",3997414,1,10,"美 엔비디아, 울트라·루빈·파인먼…<b>AI</b> 칩 출시 로드맵 발표",https://news.tvchosun.com/site/data/html_dir/2025/03/19/2025031990027.html,https://n.news.naver.com/mnews/article/448/0000514672?sid=104,인공지능(<b>AI</b>) 칩 선두 주자 엔비디아가 향후 출시될 <b>AI</b> 칩의 로드맵을 발표했다. 젠슨 황 최고경영자(CEO)는 미 캘리포니아주 새너제이 SAP 센터에서 열린 연례 개발자 회의 GTC 2025에서 2028년까지 <b>AI</b> 칩 로드맵을... ,"Wed, 19 Mar 2025 08:27:00 +0900"
"Wed, 19 Mar 2025 20:57:31 +0900",3997414,1,10,"젠슨 황 &quot;데이터 시장 규모 1452조 원, 엔비디아 <b>AI</b>칩 수요 견조&quot;[GTC 2025...",http://www.fnnews.com/news/202503191142032544,https://n.news.naver.com/mnews/article/014/0005323159?sid=105,엔비디아가 오는 2028년까지 총 4개의 새로운 <b>AI</b>칩을 내놓겠다는 로드맵을 18일(현지시간) 제시했다. 올 하반기 자사의 인공지능(<b>AI</b>) 칩 '블랙웰'의 업그레이드 버전 블랙웰 그레이스를 시작으로 오는 2028년에... ,"Wed, 19 Mar 2025 13:11:00 +0900"
"Wed, 19 Mar 2025 20:57:31 +0900",3997414,1,10,&quot;메모리가 불러올 <b>AI</b>의 내일&quot;…SK하이닉스 기술력 한눈에,https://www.hankyung.com/article/202503182618g,https://n.news.naver.com/mnews/article/015/0005107713?sid=101,SK하이닉스가 엔비다아의 글로벌 인공지능(<b>AI</b>) 콘퍼런스인 'GTC 2025'를 통해 자사 메모리 기술력을 강조한다. SK하이닉스는 19일 이번 GTC에서 '메모리가 불러올 <b>AI</b>의 내일'을 주제로 전시공간을 운영한다고... ,"Wed, 19 Mar 2025 05:01:00 +0900"
"Wed, 19 Mar 2025 20:57:31 +0900",3997414,1,10,"엔비디아, 블랙웰·루빈·파인먼 로드맵 공개…<b>AI</b> 칩 수요 계속될까",https://www.khan.co.kr/article/202503190733001,https://n.news.naver.com/mnews/article/032/0003357529?sid=101,"인공지능(<b>AI</b>) 반도체의 선두주자 엔비디아가 18일(현지시간) 블랙웰, 루빈, 파인먼으로 이어지는 <b>AI</b> 칩 출시 로드맵을 발표했다. 중국 딥시크가 ‘가성비’ <b>AI</b> 모델을 내놓으면서 엔비디아의 고성능 <b>AI</b> 칩에 대한... ","Wed, 19 Mar 2025 07:34:00 +0900"
"Wed, 19 Mar 2025 20:57:31 +0900",3997414,1,10,[단독] 美 메타의 퓨리오사<b>AI</b> '1조 딜'…韓정부 '국가전략기술' 심사 돌...,https://www.sedaily.com/NewsView/2GQB1YU7TX,https://n.news.naver.com/mnews/article/011/0004463216?sid=101,정부가 국내 인공지능(<b>AI</b>) 반도체 스타트업 퓨리오사<b>AI</b>와 미국 빅테크 메타 간 인수합병(M&amp;A) 거래를 심사하고 있다. 메타는 퓨리오사<b>AI</b>가 개발한 <b>AI</b>반도체 기술력에 주목해 지난해 말부터 인수를 추진해왔다. 추후 정책... ,"Wed, 19 Mar 2025 17:18:00 +0900"
"Wed, 19 Mar 2025 20:57:32 +0900",3997414,11,10,"<b>AI</b>교과서 채택률, 초&gt;중&gt;고 順…초4 영어 가장 높았다",https://www.yna.co.kr/view/AKR20250318122100530?input=1195m,https://n.news.naver.com/mnews/article/001/0015273119?sid=102,올해 1학기 초등학교 <b>AI</b>교과서 채택률 30% 육박…고1은 23∼24% 전국 학교 채택률 32.4%…대구 98.1% vs 세종 9.5% '지역별 격차' 중·고등학교보다는 초등학교에서 인공지능(<b>AI</b>) 디지털교과서를 채택하는 비율이... ,"Wed, 19 Mar 2025 05:55:00 +0900"
"Wed, 19 Mar 2025 20:57:32 +0900",3997414,11,10,"SK하이닉스, 엔비디아 GTC 2025 참가…&quot;<b>AI</b> 메모리 전시&quot;",https://www.newsis.com/view/NISX20250318_0003103555,https://n.news.naver.com/mnews/article/003/0013127381?sid=101,SK하이닉스가 엔비디아가 주최하는 세계 최대 <b>AI</b>(인공지능) 개발자 컨퍼런스에 참가해 <b>AI</b> 시대를 이끌 다양한 메모리 제품을 전시한다고 19일 밝혔다. SK하이닉스는 17~21일(현지 시간) 미국 새너제이에서... ,"Wed, 19 Mar 2025 05:00:00 +0900"
"Wed, 19 Mar 2025 20:57:32 +0900",3997414,11,10,문체부 '2025 <b>AI</b>-저작권 재도개선 협의체' 발족,https://www.yna.co.kr/view/AKR20250319153200005?input=1195m,https://n.news.naver.com/mnews/article/001/0015275434?sid=103,3개 분과로 <b>AI</b>저작권 정책방향 논의…위원 38명 참여 문화체육관광부와 한국저작권위원회는 19일 서울 종로구 국립현대미술관 서울관에서 '2025 인공지능(<b>AI</b>)-저작권 제도개선 협의체'를 발족했다고 밝혔다. 협의체는... ,"Wed, 19 Mar 2025 18:29:00 +0900"
"Wed, 19 Mar 2025 20:57:32 +0900",3997414,11,10,"&quot;내년 나올 루빈, 호퍼보다 성능 900배에 비용은 3% 불과&quot; [<b>AI</b> 반도체 독...",http://www.fnnews.com/news/202503191826388456,https://n.news.naver.com/mnews/article/014/0005323428?sid=105,엔비디아가 오는 2028년까지 총 4개의 새로운 인공지능(<b>AI</b>) 칩을 내놓겠다는 로드맵을 18일(현지시간) 제시했다. 올 하반기 자사의 <b>AI</b> 칩 '블랙웰'의 업그레이드 버전 블랙웰 그레이스를 시작으로 오는 2028년에... ,"Wed, 19 Mar 2025 18:27:00 +0900"
