빌드_날짜,총_검색결과,검색_시작,출력_개수,뉴스_제목,원본_URL,네이버_URL,뉴스_요약,게시_날짜
"Wed, 19 Mar 2025 18:04:57 +0900",102,1,10,"JSL인재개발원, 주식회사 모리시스템 일본 <b>IT</b>기업 <b>채용</b>설명회 개최",https://www.vegannews.co.kr/news/article.html?no=35853,https://www.vegannews.co.kr/news/article.html?no=35853,"이번 설명회에서는 기업 소개와 함께 <b>채용</b> 절차, 직무 설명, 일본 <b>IT</b> 업계 <b>동향</b> 등이 상세히 다뤄졌다. 기업... 오는 3월부터 시작해 “Cloud 연계 웹 <b>개발자</b> 과정”을 개강해 JAVA 기반 <b>IT</b> 직무 교육, 단계별 일본어 교육... ","Tue, 11 Feb 2025 14:46:00 +0900"
"Wed, 19 Mar 2025 18:04:57 +0900",102,1,10,첨단산업기금 34조 투입… 삼성 4700명 <b>채용</b> 확대 [AI PRISM*대학생 취준...,https://www.sedaily.com/NewsView/2GOV48Z8GB,https://n.news.naver.com/mnews/article/011/0004447313?sid=101,"[키워드 TOP 5] 대기업 <b>채용</b> 확대, <b>IT</b>·전자 일자리, AI 신입 기회, 실무역량 중심, 신산업 분야 259억 매출의 비밀: AI 의료에서 숏폼까지, <b>2025</b> 유망 창업 트렌드 [AI PRISM x D•LOG] AI가 골라주는 맞춤뉴스 시대! Z세대 시간... ","Thu, 06 Feb 2025 09:21:00 +0900"
"Wed, 19 Mar 2025 18:04:57 +0900",102,1,10,"[주간 게임업계 <b>동향</b>] 스마일게이트, '로스트아크 모바일' <b>개발자 채용</b>...",http://game.dailyesports.com/view.php?ud=20241230154112680a7a3ff81e6_26,https://m.sports.naver.com/esports/article/347/0000184473,"데일리게임에서 한 주 동안의 게임업계 <b>동향</b>을 정리한 새로운 코너를 준비했습니다. 게임업계 인사이동을... &lt;편집자주&gt; ◆구인구직 정보: 스마일게이트, '로스트아크 모바일' <b>채용</b> 실시 스마일게이트가 '로스트아크... ","Mon, 30 Dec 2024 17:38:00 +0900"
"Wed, 19 Mar 2025 18:04:57 +0900",102,1,10,[브리프] 삼성전자 LG유플 LG헬로비전 기아 르노코리아 KGM HMM HD현대중공...,http://www.biztribune.co.kr/news/articleView.html?idxno=331057,http://www.biztribune.co.kr/news/articleView.html?idxno=331057,견학하고 <b>개발자</b> 간담회를 갖는 등 자동차에 대한 이해도를 높이고 회사와 소통의 시간을 가졌다. 특히... ㅣLX판토스 LX판토스가 이달 4일부터 24일까지 '<b>2025</b> 상반기 <b>채용</b>연계형 국내·해외 인턴 공개<b>채용</b>'을... ,"Mon, 17 Mar 2025 17:16:00 +0900"
"Wed, 19 Mar 2025 18:04:57 +0900",102,1,10,"잡코리아, <b>IT</b> 전문가 <b>채용</b> 성공 비결 세미나 개최",http://news.mt.co.kr/mtview.php?no=2025011709390257019,https://n.news.naver.com/mnews/article/008/0005142501?sid=101,있는 <b>IT</b> 기술자들을 <b>채용</b>하는 노하우들을 공유한다. 김미준 나인하이어 사업개발 리드가 '<b>개발자 채용</b> 실무... <b>채용</b>파트장이 '테크 리크루팅 : 지난해 회고 &amp; 올해 전망과 전략'을 주제로 테크 리크루팅의 최신 <b>동향</b>과 내부... ,"Fri, 17 Jan 2025 09:47:00 +0900"
"Wed, 19 Mar 2025 18:04:57 +0900",102,1,10,"나인하이어, 인재 <b>채용</b> 전망 제시 ‘테크 리크루팅을 성공으로 이끌 해...",https://www.socialvalue.kr/news/view/1065573993796418,https://www.socialvalue.kr/news/view/1065573993796418,<b>2025</b>년 테크 리크루팅을 성공으로 이끌 해답' 온라인 세미나를 개최한다./사진=잡코리아 제공 이번 세미나에서 김미준 나인하이어 사업개발 리드는 ‘<b>개발자 채용</b> 실무 경험 공유’를 주제로 발표한다. 김 리드는 여러 <b>IT</b>... ,"Fri, 17 Jan 2025 09:54:00 +0900"
"Wed, 19 Mar 2025 18:04:57 +0900",102,1,10,"나인하이어, 테크 인재 <b>채용</b> 팁 알려준다",https://zdnet.co.kr/view/?no=20250117153210,https://n.news.naver.com/mnews/article/092/0002360307?sid=105,"김 리드는 여러 <b>IT</b> 기업에서 테크 리크루터로서 <b>개발자 채용</b> 성과를 높였던 경험을 바탕으로 실무 노하우를... 풍부한 <b>채용</b> 업계 실무 경험을 가진 전문가로, 테크 리크루팅 최신 <b>동향</b>과 함께 내부 조직문화 개선 및 소싱... ","Fri, 17 Jan 2025 15:37:00 +0900"
"Wed, 19 Mar 2025 18:04:57 +0900",102,1,10,"나인하이어, '<b>2025</b> 테크 리크루팅 성공 전략' 웨비나 개최",https://www.mhns.co.kr/news/articleView.html?idxno=707256,https://www.mhns.co.kr/news/articleView.html?idxno=707256,"김 리드는 여러 <b>IT</b> 기업에서 <b>개발자 채용</b> 성과를 높였던 경험을 바탕으로, 지원율과 입사율을 향상시킨... 강 파트장은 풍부한 실무 경험을 바탕으로 테크 리크루팅 <b>동향</b>, 내부 조직문화 개선, 소싱 능력 배양을 위한 핵심... ","Fri, 17 Jan 2025 16:30:00 +0900"
"Wed, 19 Mar 2025 18:04:57 +0900",102,1,10,"나인하이어, <b>2025</b>년 테크 리크루팅 전략 웨비나 개최",https://www.getnews.co.kr/news/articleView.html?idxno=802947,https://www.getnews.co.kr/news/articleView.html?idxno=802947,리드가 '<b>개발자 채용</b> 실무 경험 공유'를 주제로 발표할 예정이다. 김 리드는 여러 <b>IT</b> 기업에서 테크... 풍부한 <b>채용</b> 업계 실무 경험을 토대로 테크 리크루팅 최신 <b>동향</b>과 함께 리크루터를 위한 핵심 전략 5가지를 제시할... ,"Fri, 17 Jan 2025 09:32:00 +0900"
"Wed, 19 Mar 2025 18:04:57 +0900",102,1,10,"나인하이어, '<b>2025</b>년 테크 리크루팅 전략' 웨비나 개최",https://www.thefairnews.co.kr/news/articleView.html?idxno=39822,https://www.thefairnews.co.kr/news/articleView.html?idxno=39822,"리드가 '<b>개발자 채용</b> 실무 경험 공유'를 주제로 발표할 예정이다. 김 리드는 여러 <b>IT</b> 기업에서 테크... 강 파트장은 유니코써치, 월급쟁이부자들 등에서 쌓은 풍부한 실무 경험을 통해, 최신 테크 리크루팅 <b>동향</b>과 함께... ","Fri, 17 Jan 2025 09:30:00 +0900"
"Wed, 19 Mar 2025 18:04:58 +0900",102,11,10,"나인하이어, 웨비나 통해 테크 인재 <b>채용</b> 전망 및 전략 소개",https://www.thedailypost.kr/news/articleView.html?idxno=108437,https://www.thedailypost.kr/news/articleView.html?idxno=108437,"김 리드는 여러 <b>IT</b> 기업에서 테크 리크루터로서 <b>개발자 채용</b> 성과를 높였던 경험을 바탕으로 실무 노하우를... 풍부한 <b>채용</b> 업계 실무 경험을 가진 전문가로, 테크 리크루팅 최신 <b>동향</b>과 함께 내부 조직문화 개선 및 소싱... ","Fri, 17 Jan 2025 10:34:00 +0900"
"Wed, 19 Mar 2025 18:04:58 +0900",102,11,10,[#<b>IT</b>라운지] 나인하이어 '웨비나'·네이버-생태학회 '업무협약'·산돌 'S...,https://www.newsworks.co.kr/news/articleView.html?idxno=781219,https://www.newsworks.co.kr/news/articleView.html?idxno=781219,나인하이어가 '<b>2025</b>년 테크 리크루팅을 성공으로 이끌 해답'을 주제로 웨비나를 개최한다. 김미준 나인하이어 사업개발 리드가 '<b>개발자 채용</b> 실무 경험 공유'를 주제로 발표한다. 김 리드는 여러 <b>IT</b> 기업에서 테크... ,"Fri, 17 Jan 2025 09:46:00 +0900"
"Wed, 19 Mar 2025 18:04:58 +0900",102,11,10,"2024년 12월 첫째 주, 정보보안 전문가 <b>채용</b> 계획... 기업별 선호 인재상...",http://www.boannews.com/media/view.asp?idx=134815&kind=,http://www.boannews.com/media/view.asp?idx=134815&kind=,원서 접수는 <b>2025</b>년 1월 7일까지며 SK C&amp;C <b>채용</b> 홈페이지를 통해 지원할 수 있다. SK의 인재상은 “열정적으로... 백엔드 <b>개발자</b>’ 분야 △보안 데이터·통계 시스템 개발 △보안 취약점 관리 시스템 개발 및 피싱 모의훈련... ,"Sun, 08 Dec 2024 20:34:00 +0900"
"Wed, 19 Mar 2025 18:04:58 +0900",102,11,10,"서울시-구글, 청년<b>개발자</b>의 교류의 장 ‘새싹(SeSAC) 잡페스티벌’ 개최",http://www.boannews.com/media/view.asp?idx=131523&kind=,http://www.boannews.com/media/view.asp?idx=131523&kind=,현재 16개 캠퍼스를 운영 중이며 <b>2025</b>년까지 25개 전체 자치구로 확대해 운영할 계획이다. 현재 매년 3... 최신 기술 <b>동향</b>과 스타트업이 필요로 하는 인재상과 <b>채용</b>정보를 얻을 수 있다.이번에 소개되는 <b>개발자</b>·인재... ,"Tue, 23 Jul 2024 10:12:00 +0900"
"Wed, 19 Mar 2025 18:04:58 +0900",102,11,10,"[질문에 답하다] AI 거인들의 숨은 무기, 기업문화와 직원 재교육",https://www.dt.co.kr/contents.html?article_no=2025030702101931650001&ref=naver,https://n.news.naver.com/mnews/article/029/0002939348?sid=105,"또, 최신 AI 기술 <b>동향</b>을 반영해 교육 콘텐츠를 지속 업데이트하고 책임 있는 AI 활용 지침을 교육에... 업스킬링 <b>2025</b>' 계획을 발표한 것이 대표적이다.아마존은 물류센터 직원에게 대학 학비를 지원하고, SW <b>개발자</b>에게 AI... ","Thu, 06 Mar 2025 09:28:00 +0900"
"Wed, 19 Mar 2025 18:04:58 +0900",102,11,10,"써보니 좋았다, 다른 데에도 쓰련다··· 핀옵스, 클라우드 넘어 확산 ...",https://www.cio.com/article/3844922/써보니-좋았다-다른-데에도-쓰련다···-핀옵스-클라.html,https://www.cio.com/article/3844922/써보니-좋았다-다른-데에도-쓰련다···-핀옵스-클라.html,"정규직 <b>채용</b>으로는 처음 있는 일이었다. “우리는 80~85%의 업무를 클라우드에서 처리하고 있다. 이번... 모하메드에 따르면 카맥스는 <b>개발자</b> 포털에 사용 <b>동향</b>, 비용 이상 징후를 알려주고, 매일 추천을 해주는 추천... ","Thu, 13 Mar 2025 16:46:00 +0900"
"Wed, 19 Mar 2025 18:04:58 +0900",102,11,10,불가리아 ICT 산업 <b>동향</b>,http://dream.kotra.or.kr/kotranews/cms/news/actionKotraBoardDetail.do?SITE_NO=3&MENU_ID=180&CONTENTS_NO=1&bbsGbn=243&bbsSn=243&pNttSn=208262,http://dream.kotra.or.kr/kotranews/cms/news/actionKotraBoardDetail.do?SITE_NO=3&MENU_ID=180&CONTENTS_NO=1&bbsGbn=243&bbsSn=243&pNttSn=208262,"불가리아 언론 파리테니(Pariteni)의 보도에 따르면, 2024년에는 다시 ICT기업의 <b>채용</b>이 증가할 것으로 예상된다고 한다. <b>IT</b>기술과 보안 소프트웨어 개발, 데이터 분석 등 다양한 분야의 <b>개발자</b>들이 아직... ","Fri, 24 Nov 2023 18:53:00 +0900"
"Wed, 19 Mar 2025 18:04:58 +0900",102,11,10,청년취업사관학교 졸업생·교육생 한자리에... 소프트웨어 새싹 <b>개발자</b>...,http://www.boannews.com/media/view.asp?idx=119205&kind=,http://www.boannews.com/media/view.asp?idx=119205&kind=,"2030 청년 <b>개발자</b>들을 대상으로 총상금 1,500만원의 개발경진대회의 최종 우승자가 가려지고 카카오·SAP 등 <b>IT</b>(정보통신기술) 기업 현직자가 참여해 업계 <b>동향</b>도 공유했다. 취업준비생을 위해 취업 선배들의 현실적인... ","Fri, 16 Jun 2023 09:20:00 +0900"
"Wed, 19 Mar 2025 18:04:58 +0900",102,11,10,"서울시, 소프트웨어 새싹 <b>개발자</b> 축제 개최 &quot;실력 뽐내고 취업도 하자&quot;",http://www.datanet.co.kr/news/articleView.html?idxno=184341,http://www.datanet.co.kr/news/articleView.html?idxno=184341,"업계 <b>동향</b>을 공유하고 통찰을 나눈다. '<b>개발자</b>로 취업에 성공하는 비결'을 주제로 진행되는 새싹 토크쇼에는 청년취업사관학교 수료생, 우수 교육파트너, 청년취업사관학교 수료생을 <b>채용</b>한 기업 대표 등이 참여해... ","Fri, 16 Jun 2023 10:06:00 +0900"
"Wed, 19 Mar 2025 18:04:58 +0900",102,11,10,"‘청년취업사관학교 졸업생·교육생’ 한자리에…서울시, 소프트웨어 개...",https://www.etoday.co.kr/news/view/2257410,https://www.etoday.co.kr/news/view/2257410,"축제에서는 청년 <b>개발자</b>들을 대상으로 총상금 1500만 원의 개발경진대회도 열리고, 카카오 등 <b>IT</b>(정보통신기술) 기업 현직자가 참여해 업계 <b>동향</b>도 공유한다. 15일 서울시는 청년취업사관학교 개관 3주년을 맞아... ","Thu, 15 Jun 2023 11:16:00 +0900"
"Wed, 19 Mar 2025 18:04:59 +0900",102,21,10,&quot;대기업 취업은 바라지도 않아&quot;…취준생 고용한파 속 한숨 푹푹,https://www.newspim.com/news/view/20250219000746,https://www.newspim.com/news/view/20250219000746,◆ 경력직 선호 현상…&quot;그럼 난 어디서 경력 쌓아야 하나&quot; 19일 통계청이 발표한 '<b>2025</b>년 1월 고용<b>동향</b>'에... 정보기술(<b>IT</b>) 분야의 수요가 증가하면서 <b>개발자</b> 직군 취업을 노리는 비전공자들도 많아졌다. 그러나 초보... ,"Wed, 19 Feb 2025 18:03:00 +0900"
