시군명,기준년도,기준분기,대상자수,신청자수
수원시,2020,3,15750,14248
고양시,2020,3,13004,12072
과천시,2019,3,702,601
가평군,2019,3,492,430
연천군,2019,3,436,340
수원시,2019,4,15805,12438
고양시,2019,4,12987,10802
용인시,2019,4,10982,9064
성남시,2019,4,10856,9355
부천시,2019,4,10505,9154
안산시,2019,4,9848,7706
화성시,2019,4,7047,5589
남양주시,2019,4,7188,5767
안양시,2019,4,7295,6130
평택시,2019,4,5464,4608
의정부시,2019,4,5465,4505
파주시,2019,4,4499,3580
시흥시,2019,4,5668,4847
김포시,2019,4,3540,2956
광명시,2019,4,3575,3127
광주시,2019,4,3671,2926
군포시,2019,4,3395,2810
이천시,2019,4,2170,1686
오산시,2019,4,2408,1911
하남시,2019,4,2092,1696
양주시,2019,4,2216,1885
구리시,2019,4,2415,2169
안성시,2019,4,1705,1396
포천시,2019,4,1538,1298
의왕시,2019,4,2061,1681
여주시,2019,4,1065,870
양평시,2019,4,872,724
동두천시,2019,4,1047,891
과천시,2019,4,711,601
가평군,2019,4,494,432
연천군,2019,4,420,326
수원시,2019,1,15859,12895
고양시,2019,1,13172,10553
용인시,2019,1,10867,9253
성남시,2019,1,11519,10743
부천시,2019,1,10801,9043
안산시,2019,1,9873,8264
화성시,2019,1,6780,5470
남양주시,2019,1,7071,5675
안양시,2019,1,7543,6451
평택시,2019,1,5370,4323
의정부시,2019,1,5499,4518
파주시,2019,1,4585,3687
시흥시,2019,1,5565,4795
김포시,2019,1,3551,2806
광명시,2019,1,3667,3197
광주시,2019,1,3763,3188
군포시,2019,1,3458,3025
이천시,2019,1,2177,1467
오산시,2019,1,2300,1794
하남시,2019,1,1989,1500
양주시,2019,1,2214,1737
구리시,2019,1,2429,1965
안성시,2019,1,1765,1284
포천시,2019,1,1554,1299
의왕시,2019,1,2027,1671
여주시,2019,1,1019,850
양평시,2019,1,863,681
동두천시,2019,1,1042,924
과천시,2019,1,700,601
가평군,2019,1,458,365
연천군,2019,1,448,311
용인시,2024,4,11626,10324
고양시,2024,4,11471,10050
성남시,2024,4,0,0
부천시,2024,4,8012,6808
안산시,2024,4,8243,7226
화성시,2024,4,8519,7158
남양주시,2024,4,7262,6314
안양시,2024,4,5993,5437
평택시,2024,4,5784,5101
시흥시,2024,4,5580,4987
파주시,2024,4,4817,4347
의정부시,2024,4,4957,3960
김포시,2024,4,3841,3345
광주시,2024,4,3665,3157
군포시,2024,4,3001,2812
광명시,2024,4,2980,2870
하남시,2024,4,2585,2197
양주시,2024,4,2595,2229
오산시,2024,4,2392,2090
이천시,2024,4,2110,1881
구리시,2024,4,2071,1896
안성시,2024,4,1795,1566
의왕시,2024,4,1675,1520
포천시,2024,4,1305,1132
여주시,2024,4,930,822
동두천시,2024,4,867,731
과천시,2024,4,836,793
양평군,2024,4,743,651
가평군,2024,4,426,355
연천군,2024,4,364,285
수원시,2024,3,14047,12378
용인시,2024,3,11373,9982
고양시,2024,3,11450,9704
성남시,2024,3,0,0
부천시,2024,3,8070,7003
안산시,2024,3,8264,7181
화성시,2024,3,8485,7299
남양주시,2024,3,7183,6177
안양시,2024,3,5913,5210
평택시,2024,3,5700,4912
시흥시,2024,3,5584,4850
파주시,2024,3,4788,4285
의정부시,2024,3,0,0
김포시,2024,3,3799,3314
광주시,2024,3,3606,2958
군포시,2024,3,2959,2751
광명시,2024,3,2935,2787
하남시,2024,3,2509,2043
양주시,2024,3,2618,2200
오산시,2024,3,2439,2138
이천시,2024,3,2073,1796
구리시,2024,3,2000,1780
안성시,2024,3,1798,1475
군포시,2023,3,2950,2627
이천시,2023,3,2101,1786
오산시,2023,3,2288,1876
하남시,2023,3,2465,1972
양주시,2023,3,2469,1969
구리시,2023,3,2046,1755
안성시,2023,3,1721,1446
포천시,2023,3,1356,1028
의왕시,2023,3,1734,1478
여주시,2023,3,972,805
양평군,2023,3,757,644
동두천시,2023,3,845,671
과천시,2023,3,794,709
가평군,2023,3,413,311
연천군,2023,3,338,241
수원시,2023,4,13798,11101
고양시,2023,4,11300,8648
용인시,2023,4,11026,9581
성남시,2023,4,9131,7847
부천시,2023,4,8354,7665
안산시,2023,4,8376,7550
화성시,2023,4,8170,7539
남양주시,2023,4,7030,6355
안양시,2023,4,5804,5453
평택시,2023,4,5407,4850
의정부시,2023,4,4997,4557
파주시,2023,4,4599,4054
시흥시,2023,4,5269,4772
김포시,2023,4,3708,3379
광명시,2023,4,2853,2731
광주시,2023,4,3588,3228
군포시,2023,4,2889,2773
이천시,2023,4,2123,2011
오산시,2023,4,2281,2014
하남시,2023,4,2471,1884
양주시,2023,4,2525,2283
구리시,2023,4,2001,1879
안성시,2023,4,1737,1623
포천시,2023,4,1371,1172
의왕시,2023,4,1785,1599
여주시,2023,4,976,906
양평군,2023,4,763,699
동두천시,2023,4,865,737
과천시,2023,4,764,735
가평군,2023,4,433,371
연천군,2023,4,345,282
수원시,2023,1,14246,13915
고양시,2023,1,11676,10777
