movieCode,key,value
20252023,영화명,"초혼, 다시 부르는 노래"
20252023,상영시간,119
20252023,제작연도,2024
20252023,개봉연도,20250319
20252023,영화유형,장편
20252023,배우이름1,한국
20252023,배우이름1,드라마
20252023,배우이름1,조정래
20252023,배우이름1,김정연
20252023,배우이름2,윤동원
20252023,배우이름3,박철민
20252023,배우이름4,김동완
20252023,배우이름5,박근태
20253101,영화명,진격의 거인 더 라스트 어택
20253101,상영시간,144
20253101,제작연도,2024
20253101,개봉연도,20250313
20253101,영화유형,장편
20253101,배우이름1,일본
20253101,배우이름1,애니메이션
20253101,배우이름1,하야시 유이치로
20253101,배우이름1,카지 유우키
20253101,배우이름2,이시카와 유이
20253101,배우이름3,이노우에 마리나
20252507,영화명,준스톤 이어원
20252507,상영시간,94
20252507,제작연도,2025
20252507,개봉연도,20250306
20252507,영화유형,장편
20252507,배우이름1,한국
20252507,배우이름1,다큐멘터리
20251752,영화명,레드브릿지-나쁜 녀석들
20251752,상영시간,80
20251752,제작연도,2022
20251752,개봉연도,20250306
20251752,영화유형,장편
20251752,배우이름1,일본
20251752,배우이름1,액션
20251752,배우이름2,드라마
20251754,영화명,괴담-도시전설
20251754,상영시간,136
20251754,제작연도,2021
20251754,개봉연도,20250306
20251754,영화유형,장편
20251754,배우이름1,일본
20251754,배우이름1,공포(호러)
20235544,영화명,출동! 왕엉덩이 히어로: 털복숭이 꼬리도적단 소탕작전
20235544,상영시간,84
20235544,제작연도,2020
20235544,개봉연도,20250412
20235544,영화유형,장편
20235544,배우이름1,호주
20235544,배우이름1,애니메이션
20235544,배우이름2,액션
20235544,배우이름3,어드벤처
20235544,배우이름1,리카르드 쿠소
20235544,배우이름1,데보라 메일맨
20235544,배우이름2,에드 옥슨볼드
20236573,영화명,침범
20236573,상영시간,112
20236573,제작연도,2024
20236573,개봉연도,20250312
20236573,영화유형,장편
20236573,배우이름1,한국
20236573,배우이름1,미스터리
20236573,배우이름2,스릴러
20236573,배우이름1,이정찬
20236573,배우이름2,김여정
20236573,배우이름1,곽선영
20236573,배우이름2,권유리
20236573,배우이름3,이설
20236573,배우이름4,기소유
20236573,배우이름5,신동미
20253086,영화명,언젠틀 오퍼레이션
20253086,상영시간,120
